GS,NES,Cell_line,Treatment
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS,-2.0787008,WT,DAC+BMN vs. NT Day5
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,-2.0740058,WT,DAC+BMN vs. NT Day5
GOBP_AEROBIC_RESPIRATION,-2.0711648,WT,DAC+BMN vs. NT Day5
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,-2.0612168,WT,DAC+BMN vs. NT Day5
GOBP_INTRACILIARY_TRANSPORT_INVOLVED_IN_CILIUM_ASSEMBLY,-2.0288436,WT,DAC+BMN vs. NT Day5
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,2.24,WT,DAC+BMN vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.18,WT,DAC+BMN vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,2.17,WT,DAC+BMN vs. NT Day16
GOBP_RESPONSE_TO_INTERFERON_GAMMA,2.16,WT,DAC+BMN vs. NT Day16
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,2.07,WT,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,2.06,WT,DAC+BMN vs. NT Day16
GOBP_INTERLEUKIN_10_PRODUCTION,2.06,WT,DAC+BMN vs. NT Day16
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,2.06,WT,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,2.06,WT,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,2.05,WT,DAC+BMN vs. NT Day16
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.597768,WT,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS,-2.3838828,WT,DAC+BMN vs. NT Day16
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.3591125,WT,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS,-2.1861343,WT,DAC+BMN vs. NT Day16
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.160957,WT,DAC+BMN vs. NT Day16
GOBP_SULFUR_AMINO_ACID_METABOLIC_PROCESS,-2.1481526,WT,DAC+BMN vs. NT Day16
GOBP_URONIC_ACID_METABOLIC_PROCESS,-2.1138601,WT,DAC+BMN vs. NT Day16
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,-2.090122,WT,DAC+BMN vs. NT Day16
GOBP_AEROBIC_RESPIRATION,-2.086789,WT,DAC+BMN vs. NT Day16
GOBP_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT,-2.0343692,WT,DAC+BMN vs. NT Day16
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,2.17,WT,DAC+BMN vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.13,WT,DAC+BMN vs. NT Day26
GOBP_LYMPHOCYTE_CHEMOTAXIS,2.07,WT,DAC+BMN vs. NT Day26
GOBP_RESPONSE_TO_INTERFERON_GAMMA,2.07,WT,DAC+BMN vs. NT Day26
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,2.06,WT,DAC+BMN vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,2.06,WT,DAC+BMN vs. NT Day26
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,1.96,WT,DAC+BMN vs. NT Day26
GOBP_RESPONSE_TO_CHEMOKINE,1.94,WT,DAC+BMN vs. NT Day26
GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,1.94,WT,DAC+BMN vs. NT Day26
GOBP_CORNIFICATION,1.92,WT,DAC+BMN vs. NT Day26
GOBP_INNER_EAR_AUDITORY_RECEPTOR_CELL_DIFFERENTIATION,-2.1012359,WT,DAC+BMN vs. NT Day26
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS,-2.0782282,WT,DAC+BMN vs. NT Day26
GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION,-1.9026644,WT,DAC+BMN vs. NT Day26
GOBP_ISOPRENOID_BIOSYNTHETIC_PROCESS,-1.87095,WT,DAC+BMN vs. NT Day26
GOBP_RETINOL_METABOLIC_PROCESS,-1.8677775,WT,DAC+BMN vs. NT Day26
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS,-1.8517733,WT,DAC+BMN vs. NT Day26
GOBP_HAIR_CELL_DIFFERENTIATION,-1.827147,WT,DAC+BMN vs. NT Day26
GOBP_RESPIRATORY_SYSTEM_PROCESS,-1.8006378,WT,DAC+BMN vs. NT Day26
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY,-1.7962172,WT,DAC+BMN vs. NT Day26
GOBP_POSITIVE_REGULATION_OF_SODIUM_ION_TRANSPORT,-1.7765275,WT,DAC+BMN vs. NT Day26
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,1.95,KO,DAC vs. NT Day5
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,1.94,KO,DAC vs. NT Day5
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,1.94,KO,DAC vs. NT Day5
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,1.93,KO,DAC vs. NT Day5
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,1.93,KO,DAC vs. NT Day5
GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,1.92,KO,DAC vs. NT Day5
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION,1.91,KO,DAC vs. NT Day5
GOBP_POSITIVE_REGULATION_OF_TYROSINE_PHOSPHORYLATION_OF_STAT_PROTEIN,1.9,KO,DAC vs. NT Day5
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,1.9,KO,DAC vs. NT Day5
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,1.9,KO,DAC vs. NT Day5
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,-2.7465265,KO,DAC vs. NT Day5
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.6456378,KO,DAC vs. NT Day5
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY,-2.4070842,KO,DAC vs. NT Day5
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.3577962,KO,DAC vs. NT Day5
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,-2.3138285,KO,DAC vs. NT Day5
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,-2.2360303,KO,DAC vs. NT Day5
GOBP_HETEROCHROMATIN_ORGANIZATION,-2.1948218,KO,DAC vs. NT Day5
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.1843543,KO,DAC vs. NT Day5
GOBP_AEROBIC_RESPIRATION,-2.1450944,KO,DAC vs. NT Day5
GOBP_PROTEIN_TARGETING_TO_MEMBRANE,-2.0984447,KO,DAC vs. NT Day5
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,1.98,KO,DAC vs. NT Day16
GOBP_RESPONSE_TO_INTERFERON_GAMMA,1.95,KO,DAC vs. NT Day16
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,1.94,KO,DAC vs. NT Day16
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,1.94,KO,DAC vs. NT Day16
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,1.93,KO,DAC vs. NT Day16
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,1.92,KO,DAC vs. NT Day16
GOBP_RESPONSE_TO_CHEMOKINE,1.92,KO,DAC vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,1.92,KO,DAC vs. NT Day16
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY,1.91,KO,DAC vs. NT Day16
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,1.91,KO,DAC vs. NT Day16
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.7548752,KO,DAC vs. NT Day16
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.7219985,KO,DAC vs. NT Day16
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,-2.4527044,KO,DAC vs. NT Day16
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.2517178,KO,DAC vs. NT Day16
GOBP_MITOCHONDRIAL_TRANSLATION,-2.2203395,KO,DAC vs. NT Day16
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY,-2.1280067,KO,DAC vs. NT Day16
GOBP_TRANSLATIONAL_INITIATION,-2.1265776,KO,DAC vs. NT Day16
GOBP_MITOCHONDRIAL_TRANSLATIONAL_TERMINATION,-2.109414,KO,DAC vs. NT Day16
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS,-2.0845416,KO,DAC vs. NT Day16
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY,-2.076858,KO,DAC vs. NT Day16
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,2.17,KO,DAC vs. NT Day26
GOBP_T_CELL_MIGRATION,2.08,KO,DAC vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.06,KO,DAC vs. NT Day26
GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION,2.02,KO,DAC vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,2,KO,DAC vs. NT Day26
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,1.99,KO,DAC vs. NT Day26
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,1.97,KO,DAC vs. NT Day26
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY,1.94,KO,DAC vs. NT Day26
GOBP_SENSORY_PERCEPTION_OF_TASTE,1.93,KO,DAC vs. NT Day26
GOBP_RESPONSE_TO_INTERFERON_GAMMA,1.93,KO,DAC vs. NT Day26
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY,-2.7130396,KO,DAC vs. NT Day26
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,-2.5674431,KO,DAC vs. NT Day26
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.5527072,KO,DAC vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,-2.3919895,KO,DAC vs. NT Day26
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.3674667,KO,DAC vs. NT Day26
GOBP_HETEROCHROMATIN_ORGANIZATION,-2.3342707,KO,DAC vs. NT Day26
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,-2.277259,KO,DAC vs. NT Day26
GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION,-2.2736075,KO,DAC vs. NT Day26
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,-2.265472,KO,DAC vs. NT Day26
GOBP_CELLULAR_RESPIRATION,-2.221445,KO,DAC vs. NT Day26
GOBP_KERATINIZATION,2.08,KO,DAC+BMN vs. NT Day5
GOBP_CORNIFICATION,2.05,KO,DAC+BMN vs. NT Day5
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,2,KO,DAC+BMN vs. NT Day5
GOBP_INTERLEUKIN_10_PRODUCTION,2,KO,DAC+BMN vs. NT Day5
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,2,KO,DAC+BMN vs. NT Day5
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,2,KO,DAC+BMN vs. NT Day5
GOBP_T_HELPER_1_TYPE_IMMUNE_RESPONSE,2,KO,DAC+BMN vs. NT Day5
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,1.99,KO,DAC+BMN vs. NT Day5
GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,1.99,KO,DAC+BMN vs. NT Day5
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,1.98,KO,DAC+BMN vs. NT Day5
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY,-3.1820915,KO,DAC+BMN vs. NT Day5
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,-3.046988,KO,DAC+BMN vs. NT Day5
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,-2.933361,KO,DAC+BMN vs. NT Day5
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,-2.8758056,KO,DAC+BMN vs. NT Day5
GOBP_CHROMATIN_ORGANIZATION_INVOLVED_IN_REGULATION_OF_TRANSCRIPTION,-2.8389885,KO,DAC+BMN vs. NT Day5
GOBP_HETEROCHROMATIN_ORGANIZATION,-2.8005319,KO,DAC+BMN vs. NT Day5
GOBP_NUCLEOSOME_ASSEMBLY,-2.7872968,KO,DAC+BMN vs. NT Day5
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-2.7632232,KO,DAC+BMN vs. NT Day5
GOBP_NUCLEOSOME_ORGANIZATION,-2.6589768,KO,DAC+BMN vs. NT Day5
GOBP_DNA_PACKAGING,-2.5658152,KO,DAC+BMN vs. NT Day5
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,2.33,KO,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,2.18,KO,DAC+BMN vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.17,KO,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY,2.16,KO,DAC+BMN vs. NT Day16
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION,2.12,KO,DAC+BMN vs. NT Day16
GOBP_RESPONSE_TO_INTERFERON_GAMMA,2.11,KO,DAC+BMN vs. NT Day16
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY,2.1,KO,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,2.1,KO,DAC+BMN vs. NT Day16
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION,2.1,KO,DAC+BMN vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,2.1,KO,DAC+BMN vs. NT Day16
GOBP_RETINOL_METABOLIC_PROCESS,-2.22,KO,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS,-2.21,KO,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS,-2.12,KO,DAC+BMN vs. NT Day16
GOBP_REGULATION_OF_STEROID_BIOSYNTHETIC_PROCESS,-2.12,KO,DAC+BMN vs. NT Day16
GOBP_BETA_CATENIN_DESTRUCTION_COMPLEX_DISASSEMBLY,-2.11,KO,DAC+BMN vs. NT Day16
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,-2.06,KO,DAC+BMN vs. NT Day16
GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION,-2.04,KO,DAC+BMN vs. NT Day16
GOBP_RESPONSE_TO_STEROL_DEPLETION,-1.98,KO,DAC+BMN vs. NT Day16
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,-1.97,KO,DAC+BMN vs. NT Day16
GOBP_CELLULAR_ALDEHYDE_METABOLIC_PROCESS,-1.97,KO,DAC+BMN vs. NT Day16
GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION,2.28,KO,DAC+BMN vs. NT Day26
GOBP_RESPONSE_TO_TYPE_I_INTERFERON,2.27,KO,DAC+BMN vs. NT Day26
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,2.1,KO,DAC+BMN vs. NT Day26
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,2.07,KO,DAC+BMN vs. NT Day26
GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS,2.06,KO,DAC+BMN vs. NT Day26
GOBP_POSITIVE_REGULATION_OF_T_CELL_MIGRATION,2.06,KO,DAC+BMN vs. NT Day26
GOBP_RESPONSE_TO_INTERFERON_GAMMA,2.05,KO,DAC+BMN vs. NT Day26
GOBP_DEFENSE_RESPONSE_TO_VIRUS,2.05,KO,DAC+BMN vs. NT Day26
GOBP_T_CELL_MIGRATION,1.98,KO,DAC+BMN vs. NT Day26
GOBP_RESPONSE_TO_VIRUS,1.97,KO,DAC+BMN vs. NT Day26
GOBP_RDNA_HETEROCHROMATIN_ASSEMBLY,-2.4393597,KO,DAC+BMN vs. NT Day26
GOBP_RETINOL_METABOLIC_PROCESS,-2.161394,KO,DAC+BMN vs. NT Day26
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,-2.1440094,KO,DAC+BMN vs. NT Day26
GOBP_RETINOIC_ACID_RECEPTOR_SIGNALING_PATHWAY,-2.0729914,KO,DAC+BMN vs. NT Day26
GOBP_INTERLEUKIN_7_MEDIATED_SIGNALING_PATHWAY,-1.858004,KO,DAC+BMN vs. NT Day26
GOBP_ANDROGEN_METABOLIC_PROCESS,-1.8191687,KO,DAC+BMN vs. NT Day26
GOBP_HETEROCHROMATIN_ORGANIZATION,-1.8054473,KO,DAC+BMN vs. NT Day26
GOBP_RESPONSE_TO_INTERLEUKIN_7,-1.7331327,KO,DAC+BMN vs. NT Day26
